h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
0.81,0.19,3.0,0.51,0.0,6.3,96649.58,218.38,87.35,-8327.89,2602.02,3.201,-1240.61,787.13,1.576,622.11,8965.6,0.069,226.3,3.906,738.2,14.864,0.893,1.313,2.925,1.201,2.51,4.231,0,0,0,0,1,1,0,0,1,0,0
1.8,0.27,4.0,0.86,0.0,3.8,169773.39,382.14,152.85,-12672.23,5955.38,2.128,2137.1,1003.93,2.129,329.25,18555.6,0.018,30.6,0.552,100.63,2.117,2.319,2.566,4.364,3.227,4.392,8.308,0,0,0,0,1,0,0,0,1,0,0
1.49,0.18,3.0,0.83,1.0,5.02,117929.51,264.45,105.78,-5359.91,4905.34,1.093,-1047.61,958.97,1.092,467.86,17541.6,0.027,14.8,0.252,35.66,0.708,1.764,2.532,3.501,3.847,4.44,5.546,0,0,0,0,0,0,0,0,1,0,0
2.15,0.26,7.0,0.78,0.0,4.13,179689.71,405.52,162.21,-13562.35,7140.91,1.899,2955.97,1042.16,2.836,106.24,15931.6,0.007,22.3,0.399,71.64,1.495,2.646,2.945,4.283,3.777,4.611,11.022,0,0,0,0,1,0,0,0,1,0,0
0.62,0.21,5.0,0.97,1.0,2.6,95495.17,213.29,85.32,-5109.83,1958.44,2.609,-936.32,702.59,1.333,165.32,22581.6,0.007,89.6,1.64,227.55,4.858,0.938,1.456,2.299,1.885,3.192,4.213,0,0,0,0,0,0,0,0,1,0,0
1.03,0.15,4.0,1.05,3.0,0.62,79068.06,174.73,69.89,-5753.88,3347.21,1.719,-927.27,859.19,1.079,185.88,25813.6,0.007,43.9,0.851,137.86,3.117,1.369,2.079,3.262,2.731,4.077,8.111,0,0,0,0,1,0,0,0,0,0,0
1.09,0.17,3.0,1.06,2.0,0.04,101698.59,225.48,90.19,-5740.28,3550.44,1.617,-989.75,875.43,1.131,461.15,26235.6,0.018,45.8,0.791,102.6,2.066,1.144,2.152,2.706,2.537,3.623,6.253,0,0,0,0,1,0,0,0,0,0,0
0.79,0.19,3.0,1.01,1.0,6.95,105624.02,235.26,94.1,-4784.99,2534.27,1.888,-936.81,779.39,1.202,351.34,24165.6,0.015,43.7,0.72,99.92,1.921,1.196,1.74,2.156,2.454,3.009,4.157,0,0,0,0,0,0,0,0,1,0,0
0.92,0.29,3.0,1.09,1.0,6.38,154107.23,344.55,137.82,-6623.63,2974.61,2.227,-1283.3,825.91,1.554,490.49,27525.6,0.018,37.1,0.616,86.13,1.67,1.272,1.861,2.304,2.642,3.165,4.484,0,0,0,0,0,0,0,0,1,0,0
1.09,0.27,7.0,1.05,0.0,1.66,129324.83,289.5,115.8,-8705.79,3550.44,2.452,1699.36,875.43,1.941,118.76,25813.6,0.005,44.7,0.865,135.93,3.068,1.506,2.053,3.005,2.713,4.467,8.875,0,0,0,0,1,0,0,0,0,0,0
